,,School,Year,Ethnicity Other/Unknown,International,White,Asian/Pacific Islander,American Indian,African American,Hispanic/Latinx,GPA Unknown/Missing,4.20 and Above,3.80 - 4.19,3.40 - 3.79,3.00 - 3.39,0.00 - 2.99,Male,Female
,,,,,UC Merced,2007,837,132,"4,706","4,964",99,803,"3,553",125,386,"2,847","5,427","4,858","1,451",7121,7969
,,,,,UC Merced,2006,801,65,"4,361","5,121",89,717,"2,944",115,403,"2,628","4,918","4,455","1,579",6788,7304
,,,,,UC Merced,2005,761,115,"4,634","4,850",82,685,"2,955",132,417,"2,706","4,764","4,511","1,552",6612,7469
,,,,,UC Merced,2004,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,,,,,UC Merced,2003,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,,,,,UC Merced,2002,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,,,,,UC Merced,2001,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,,,,,UC Merced,2000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,,,,,UC Merced,1999,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,,,,,UC Merced,1998,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,,,,,UC Merced,1997,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,,,,,UC Merced,1996,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,,,,,UC Merced,1995,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,,,,,UC Merced,1994,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
